scenario,method,round,client,value
noniid_pairwise_overlap_100,exhaustive,4,client_3,0.2832166666666667
noniid_pairwise_overlap_100,exhaustive,5,client_1,0.28941666666666666
noniid_pairwise_overlap_100,exhaustive,5,client_2,0.13556666666666667
noniid_pairwise_overlap_100,exhaustive,5,client_3,0.281
noniid_global_overlap_100,exhaustive,1,client_1,0.13453333333333334
noniid_global_overlap_100,exhaustive,1,client_2,0.13224999999999998
noniid_global_overlap_100,exhaustive,1,client_3,0.1341
noniid_global_overlap_100,exhaustive,2,client_1,0.13583333333333333
noniid_global_overlap_100,exhaustive,2,client_2,0.13620000000000002
noniid_global_overlap_100,exhaustive,2,client_3,0.13673333333333332
noniid_global_overlap_100,exhaustive,3,client_1,0.13745
noniid_global_overlap_100,exhaustive,3,client_2,0.13761666666666666
noniid_global_overlap_100,exhaustive,3,client_3,0.13701666666666668
noniid_global_overlap_100,exhaustive,4,client_1,0.13688333333333333
noniid_global_overlap_100,exhaustive,4,client_2,0.13811666666666664
noniid_global_overlap_100,exhaustive,4,client_3,0.1373166666666667
noniid_global_overlap_100,exhaustive,5,client_1,0.1378
noniid_global_overlap_100,exhaustive,5,client_2,0.13775
noniid_global_overlap_100,exhaustive,5,client_3,0.1373666666666667
pairwise_overlap_0,random_10,1,client_1,0.07188999999999998
pairwise_overlap_0,random_10,1,client_2,0.6315
pairwise_overlap_0,random_10,1,client_3,0.06559
pairwise_overlap_0,random_10,2,client_1,0.08490999999999997
pairwise_overlap_0,random_10,2,client_2,0.6677099999999999
pairwise_overlap_0,random_10,2,client_3,0.08995
pairwise_overlap_0,random_10,3,client_1,0.08981
pairwise_overlap_0,random_10,3,client_2,0.68255
pairwise_overlap_0,random_10,3,client_3,0.08861999999999999
pairwise_overlap_0,random_10,4,client_1,0.08971
pairwise_overlap_0,random_10,4,client_2,0.68857
pairwise_overlap_0,random_10,4,client_3,0.09184999999999999
pairwise_overlap_0,random_10,5,client_1,0.08980000000000002
pairwise_overlap_0,random_10,5,client_2,0.69466
pairwise_overlap_0,random_10,5,client_3,0.09047000000000001
global_overlap_0,random_10,1,client_1,0.07433999999999999
global_overlap_0,random_10,1,client_2,0.62403
global_overlap_0,random_10,1,client_3,0.07296
global_overlap_0,random_10,2,client_1,0.08515000000000002
global_overlap_0,random_10,2,client_2,0.6696399999999999
global_overlap_0,random_10,2,client_3,0.08827999999999998
global_overlap_0,random_10,3,client_1,0.08696999999999998
global_overlap_0,random_10,3,client_2,0.6831999999999999
global_overlap_0,random_10,3,client_3,0.09100000000000001
global_overlap_0,random_10,4,client_1,0.08847999999999999
global_overlap_0,random_10,4,client_2,0.6897599999999999
global_overlap_0,random_10,4,client_3,0.09306
global_overlap_0,random_10,5,client_1,0.09004999999999999
global_overlap_0,random_10,5,client_2,0.6930099999999999
global_overlap_0,random_10,5,client_3,0.09239999999999998
pairwise_overlap_25,random_10,1,client_1,0.0724
pairwise_overlap_25,random_10,1,client_2,0.6315199999999999
pairwise_overlap_25,random_10,1,client_3,0.05800999999999999
pairwise_overlap_25,random_10,2,client_1,0.08136999999999998
pairwise_overlap_25,random_10,2,client_2,0.6722699999999999
pairwise_overlap_25,random_10,2,client_3,0.08723000000000002
pairwise_overlap_25,random_10,3,client_1,0.08793
pairwise_overlap_25,random_10,3,client_2,0.68154
pairwise_overlap_25,random_10,3,client_3,0.09121
pairwise_overlap_25,random_10,4,client_1,0.08895
pairwise_overlap_25,random_10,4,client_2,0.69194
pairwise_overlap_25,random_10,4,client_3,0.08851999999999999
pairwise_overlap_25,random_10,5,client_1,0.08869
pairwise_overlap_25,random_10,5,client_2,0.6974099999999999
pairwise_overlap_25,random_10,5,client_3,0.08814
global_overlap_25,random_10,1,client_1,0.07506
global_overlap_25,random_10,1,client_2,0.6290699999999999
global_overlap_25,random_10,1,client_3,0.056979999999999975
global_overlap_25,random_10,2,client_1,0.08614000000000001
global_overlap_25,random_10,2,client_2,0.6677399999999999
global_overlap_25,random_10,2,client_3,0.08812
global_overlap_25,random_10,3,client_1,0.08666000000000001
global_overlap_25,random_10,3,client_2,0.6823499999999999
global_overlap_25,random_10,3,client_3,0.09017
global_overlap_25,random_10,4,client_1,0.08871
global_overlap_25,random_10,4,client_2,0.6890099999999999
global_overlap_25,random_10,4,client_3,0.09086999999999998
global_overlap_25,random_10,5,client_1,0.08967
global_overlap_25,random_10,5,client_2,0.6930599999999999
global_overlap_25,random_10,5,client_3,0.09085
pairwise_overlap_50,random_10,1,client_1,0.07471000000000001
pairwise_overlap_50,random_10,1,client_2,0.6268299999999999
pairwise_overlap_50,random_10,1,client_3,0.06253
pairwise_overlap_50,random_10,2,client_1,0.08557000000000002
pairwise_overlap_50,random_10,2,client_2,0.6644599999999999
pairwise_overlap_50,random_10,2,client_3,0.09230999999999999
pairwise_overlap_50,random_10,3,client_1,0.08831
pairwise_overlap_50,random_10,3,client_2,0.68326
pairwise_overlap_50,random_10,3,client_3,0.0889
pairwise_overlap_50,random_10,4,client_1,0.089
pairwise_overlap_50,random_10,4,client_2,0.6903699999999999
pairwise_overlap_50,random_10,4,client_3,0.08992999999999998
pairwise_overlap_50,random_10,5,client_1,0.08894
pairwise_overlap_50,random_10,5,client_2,0.69417
pairwise_overlap_50,random_10,5,client_3,0.09032000000000001
global_overlap_50,random_10,1,client_1,0.06580000000000001
global_overlap_50,random_10,1,client_2,0.63104
global_overlap_50,random_10,1,client_3,0.07115999999999999
global_overlap_50,random_10,2,client_1,0.08798999999999998
global_overlap_50,random_10,2,client_2,0.66572
global_overlap_50,random_10,2,client_3,0.08857999999999999
global_overlap_50,random_10,3,client_1,0.08836
global_overlap_50,random_10,3,client_2,0.6824600000000001
global_overlap_50,random_10,3,client_3,0.08839999999999998
global_overlap_50,random_10,4,client_1,0.08744
global_overlap_50,random_10,4,client_2,0.6917
global_overlap_50,random_10,4,client_3,0.08899999999999998
global_overlap_50,random_10,5,client_1,0.08825000000000002
global_overlap_50,random_10,5,client_2,0.69531
global_overlap_50,random_10,5,client_3,0.08987999999999999
pairwise_overlap_75,random_10,1,client_1,0.07506999999999997
pairwise_overlap_75,random_10,1,client_2,0.63228
pairwise_overlap_75,random_10,1,client_3,0.06593000000000002
pairwise_overlap_75,random_10,2,client_1,0.08589999999999999
pairwise_overlap_75,random_10,2,client_2,0.6676500000000001
pairwise_overlap_75,random_10,2,client_3,0.08839
pairwise_overlap_75,random_10,3,client_1,0.08726000000000003
pairwise_overlap_75,random_10,3,client_2,0.6857099999999999
pairwise_overlap_75,random_10,3,client_3,0.08700999999999996
pairwise_overlap_75,random_10,4,client_1,0.08812999999999999
pairwise_overlap_75,random_10,4,client_2,0.69031
pairwise_overlap_75,random_10,4,client_3,0.09099
pairwise_overlap_75,random_10,5,client_1,0.09067000000000001
pairwise_overlap_75,random_10,5,client_2,0.6950399999999999
pairwise_overlap_75,random_10,5,client_3,0.08847000000000001
global_overlap_75,random_10,1,client_1,0.06770999999999996
global_overlap_75,random_10,1,client_2,0.6342299999999998
global_overlap_75,random_10,1,client_3,0.06521000000000002
global_overlap_75,random_10,2,client_1,0.08612
global_overlap_75,random_10,2,client_2,0.66822
global_overlap_75,random_10,2,client_3,0.08603000000000001
global_overlap_75,random_10,3,client_1,0.08922000000000001
global_overlap_75,random_10,3,client_2,0.67941
global_overlap_75,random_10,3,client_3,0.08979
global_overlap_75,random_10,4,client_1,0.08762999999999999
global_overlap_75,random_10,4,client_2,0.6907599999999999
global_overlap_75,random_10,4,client_3,0.09015999999999999
global_overlap_75,random_10,5,client_1,0.08829000000000001
global_overlap_75,random_10,5,client_2,0.6943900000000001
global_overlap_75,random_10,5,client_3,0.09017999999999998
pairwise_overlap_100,random_10,1,client_1,0.07189
pairwise_overlap_100,random_10,1,client_2,0.6232
pairwise_overlap_100,random_10,1,client_3,0.07515999999999999
pairwise_overlap_100,random_10,2,client_1,0.0838
pairwise_overlap_100,random_10,2,client_2,0.6694199999999999
pairwise_overlap_100,random_10,2,client_3,0.08736000000000001
pairwise_overlap_100,random_10,3,client_1,0.08680999999999998
pairwise_overlap_100,random_10,3,client_2,0.68231
pairwise_overlap_100,random_10,3,client_3,0.09037999999999999
pairwise_overlap_100,random_10,4,client_1,0.08723
pairwise_overlap_100,random_10,4,client_2,0.6896599999999999
pairwise_overlap_100,random_10,4,client_3,0.09200999999999998
pairwise_overlap_100,random_10,5,client_1,0.08860000000000001
pairwise_overlap_100,random_10,5,client_2,0.6928099999999999
pairwise_overlap_100,random_10,5,client_3,0.09216999999999996
global_overlap_100,random_10,1,client_1,0.07776999999999999
global_overlap_100,random_10,1,client_2,0.6217299999999999
global_overlap_100,random_10,1,client_3,0.07207000000000001
global_overlap_100,random_10,2,client_1,0.08583999999999999
global_overlap_100,random_10,2,client_2,0.6650099999999999
global_overlap_100,random_10,2,client_3,0.08819000000000002
global_overlap_100,random_10,3,client_1,0.08827
global_overlap_100,random_10,3,client_2,0.67982
global_overlap_100,random_10,3,client_3,0.08892000000000001
global_overlap_100,random_10,4,client_1,0.08846999999999998
global_overlap_100,random_10,4,client_2,0.68912
global_overlap_100,random_10,4,client_3,0.08953000000000001
global_overlap_100,random_10,5,client_1,0.08785
global_overlap_100,random_10,5,client_2,0.692
global_overlap_100,random_10,5,client_3,0.0917
noniid_pairwise_overlap_0,random_10,1,client_1,0.19493000000000002
noniid_pairwise_overlap_0,random_10,1,client_2,0.29318000000000005
noniid_pairwise_overlap_0,random_10,1,client_3,0.12416
noniid_pairwise_overlap_0,random_10,2,client_1,0.30001
noniid_pairwise_overlap_0,random_10,2,client_2,0.30037
noniid_pairwise_overlap_0,random_10,2,client_3,0.20534
noniid_pairwise_overlap_0,random_10,3,client_1,0.2996
